Date;Year;Month_Num;Month_Name;Quarter;Week;Machine;Process_Step;Total_Pieces;Good_Pieces;Rejected_Pieces;Total_Downtime [sec];Total_Run_Time [sec];Total_Planned [sec];Avg_OEE;Avg_Availability;Avg_Performance;Avg_Quality;Shifts_Run;Scrap_Rate;FPY
01/01/2023;2023;1;Jan;Q1;1;Band Saw;1;16;15;1;4027;24773;28800;0.688;0.86;0.853;0.938;1;0.0625;0.9375
02/01/2023;2023;1;Jan;Q1;1;Band Saw;1;14;13;1;4574;24226;28800;0.635;0.841;0.813;0.929;1;0.0714;0.9286
03/01/2023;2023;1;Jan;Q1;1;Band Saw;1;16;16;0;4389;24411;28800;0.729;0.848;0.86;1;1;0;1
04/01/2023;2023;1;Jan;Q1;1;Band Saw;1;19;19;0;4463;24337;28800;0.666;0.845;0.788;1;1;0;1
05/01/2023;2023;1;Jan;Q1;1;Band Saw;1;14;10;4;3701;25099;28800;0.548;0.871;0.881;0.714;1;0.2857;0.7143
06/01/2023;2023;1;Jan;Q1;1;Band Saw;1;14;11;3;4399;24401;28800;0.574;0.847;0.862;0.786;1;0.2143;0.7857
07/01/2023;2023;1;Jan;Q1;1;Band Saw;1;19;19;0;4814;23986;28800;0.712;0.833;0.855;1;1;0;1
08/01/2023;2023;1;Jan;Q1;1;Band Saw;1;17;13;4;5649;23151;28800;0.54;0.804;0.879;0.765;1;0.2353;0.7647
09/01/2023;2023;1;Jan;Q1;2;Band Saw;1;14;13;1;5218;23582;28800;0.686;0.819;0.902;0.929;1;0.0714;0.9286
10/01/2023;2023;1;Jan;Q1;2;Band Saw;1;16;13;3;6263;22537;28800;0.56;0.783;0.88;0.812;1;0.1875;0.8125
11/01/2023;2023;1;Jan;Q1;2;Band Saw;1;14;13;1;3706;25094;28800;0.634;0.871;0.784;0.929;1;0.0714;0.9286
12/01/2023;2023;1;Jan;Q1;2;Band Saw;1;14;13;1;5142;23658;28800;0.612;0.821;0.803;0.929;1;0.0714;0.9286
13/01/2023;2023;1;Jan;Q1;2;Band Saw;1;15;14;1;4538;24262;28800;0.649;0.842;0.825;0.933;1;0.0667;0.9333
14/01/2023;2023;1;Jan;Q1;2;Band Saw;1;10;9;1;6295;22505;28800;0.596;0.781;0.847;0.9;1;0.01;0.09
15/01/2023;2023;1;Jan;Q1;2;Band Saw;1;10;10;0;3670;25130;28800;0.753;0.873;0.864;1;1;0;1
16/01/2023;2023;1;Jan;Q1;3;Band Saw;1;13;13;0;3643;25157;28800;0.718;0.874;0.821;1;1;0;1
17/01/2023;2023;1;Jan;Q1;3;Band Saw;1;12;12;0;3853;24947;28800;0.738;0.866;0.852;1;1;0;1
18/01/2023;2023;1;Jan;Q1;3;Band Saw;1;16;14;2;2518;26282;28800;0.655;0.913;0.82;0.875;1;0.0125;0.0875
19/01/2023;2023;1;Jan;Q1;3;Band Saw;1;12;12;0;3918;24882;28800;0.713;0.864;0.825;1;1;0;1
20/01/2023;2023;1;Jan;Q1;3;Band Saw;1;11;10;1;3713;25087;28800;0.632;0.871;0.798;0.909;1;0.0909;0.9091
21/01/2023;2023;1;Jan;Q1;3;Band Saw;1;19;15;4;4510;24290;28800;0.543;0.843;0.815;0.789;1;0.2105;0.7895
22/01/2023;2023;1;Jan;Q1;3;Band Saw;1;14;14;0;4677;24123;28800;0.67;0.838;0.8;1;1;0;1
23/01/2023;2023;1;Jan;Q1;4;Band Saw;1;15;13;2;6021;22779;28800;0.557;0.791;0.813;0.867;1;0.1333;0.8667
24/01/2023;2023;1;Jan;Q1;4;Band Saw;1;11;10;1;5210;23590;28800;0.657;0.819;0.882;0.909;1;0.0909;0.9091
25/01/2023;2023;1;Jan;Q1;4;Band Saw;1;13;11;2;3873;24927;28800;0.596;0.866;0.814;0.846;1;0.1538;0.8462
26/01/2023;2023;1;Jan;Q1;4;Band Saw;1;15;15;0;3591;25209;28800;0.818;0.875;0.935;1;1;0;1
27/01/2023;2023;1;Jan;Q1;4;Band Saw;1;12;11;1;4809;23991;28800;0.659;0.833;0.863;0.917;1;0.0833;0.9167
28/01/2023;2023;1;Jan;Q1;4;Band Saw;1;16;14;2;3222;25578;28800;0.662;0.888;0.852;0.875;1;0.0125;0.0875
29/01/2023;2023;1;Jan;Q1;4;Band Saw;1;13;10;3;5982;22818;28800;0.498;0.792;0.817;0.769;1;0.2308;0.7692
30/01/2023;2023;1;Jan;Q1;5;Band Saw;1;14;12;2;5411;23389;28800;0.605;0.812;0.87;0.857;1;0.1429;0.8571
31/01/2023;2023;1;Jan;Q1;5;Band Saw;1;13;12;1;3967;24833;28800;0.658;0.862;0.827;0.923;1;0.0769;0.9231
01/02/2023;2023;2;Feb;Q1;5;Band Saw;1;20;18;2;2878;25922;28800;0.689;0.9;0.85;0.9;1;0.01;0.09
02/02/2023;2023;2;Feb;Q1;5;Band Saw;1;15;12;3;5563;23237;28800;0.602;0.807;0.933;0.8;1;0.02;0.08
03/02/2023;2023;2;Feb;Q1;5;Band Saw;1;12;11;1;4278;24522;28800;0.658;0.851;0.843;0.917;1;0.0833;0.9167
04/02/2023;2023;2;Feb;Q1;5;Band Saw;1;17;17;0;5462;23338;28800;0.717;0.81;0.885;1;1;0;1
05/02/2023;2023;2;Feb;Q1;5;Band Saw;1;12;9;3;2982;25818;28800;0.553;0.896;0.822;0.75;1;0.025;0.075
06/02/2023;2023;2;Feb;Q1;6;Band Saw;1;15;13;2;3853;24947;28800;0.634;0.866;0.845;0.867;1;0.1333;0.8667
07/02/2023;2023;2;Feb;Q1;6;Band Saw;1;10;9;1;4383;24417;28800;0.691;0.848;0.906;0.9;1;0.01;0.09
08/02/2023;2023;2;Feb;Q1;6;Band Saw;1;11;11;0;4419;24381;28800;0.698;0.847;0.825;1;1;0;1
09/02/2023;2023;2;Feb;Q1;6;Band Saw;1;15;13;2;3984;24816;28800;0.678;0.862;0.907;0.867;1;0.1333;0.8667
10/02/2023;2023;2;Feb;Q1;6;Band Saw;1;17;16;1;4923;23877;28800;0.679;0.829;0.87;0.941;1;0.0588;0.9412
11/02/2023;2023;2;Feb;Q1;6;Band Saw;1;15;13;2;3443;25357;28800;0.631;0.88;0.827;0.867;1;0.1333;0.8667
12/02/2023;2023;2;Feb;Q1;6;Band Saw;1;14;14;0;4253;24547;28800;0.739;0.852;0.867;1;1;0;1
13/02/2023;2023;2;Feb;Q1;7;Band Saw;1;14;12;2;4483;24317;28800;0.636;0.844;0.879;0.857;1;0.1429;0.8571
14/02/2023;2023;2;Feb;Q1;7;Band Saw;1;11;6;5;4828;23972;28800;0.394;0.832;0.867;0.545;1;0.4545;0.5455
15/02/2023;2023;2;Feb;Q1;7;Band Saw;1;13;13;0;5001;23799;28800;0.655;0.826;0.793;1;1;0;1
16/02/2023;2023;2;Feb;Q1;7;Band Saw;1;14;10;4;3393;25407;28800;0.518;0.882;0.821;0.714;1;0.2857;0.7143
17/02/2023;2023;2;Feb;Q1;7;Band Saw;1;18;17;1;3035;25765;28800;0.708;0.895;0.838;0.944;1;0.0556;0.9444
